INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	MOLECULAR_FORMULA	AVERAGE_MASS	ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED	BIOCONCENTRATION_FACTOR_OPERA_PRED	BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED	BOILING_POINT_DEGC_OPERA_PRED	HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED	OPERA_KM_DAYS_OPERA_PRED	OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED	SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED	OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED	MELTING_POINT_DEGC_OPERA_PRED	VAPOR_PRESSURE_MMHG_OPERA_PRED	WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID20109382	DSSTox_Substance_Id	DTXSID20109382	2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene, methyl 2-methyl-2-propenoate and 2-methylpropyl 2-methyl-2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109387	DSSTox_Substance_Id	DTXSID20109387	Stannane, dibutyl-, bis(C8-18 and C18-unsatd. fatty acyloxy) derivs.	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109403	DSSTox_Substance_Id	DTXSID20109403	2-Propenoic acid, 2-methyl-, polymer with butyl 2-propenoate, ethenylbenzene, methyl 2-methyl-2-propenoate and 2-methylpropyl 2-methyl-2-propenoate, ammonium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109408	DSSTox_Substance_Id	DTXSID20109408	Hexanedioic acid, polymer with 1,6-diisocyanatohexane, dimethyl carbonate, 2,2-dimethyl-1,3-propanediol, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, 1,6-hexanediol, 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoic acid, 1,3-isobenzofurandione and 2-oxepanone	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109443	DSSTox_Substance_Id	DTXSID20109443	Thiols, C11-13-tertiary, C12-rich, manuf. of, C12-rich C11-13 alkenes-based, distn. residues, high-boiling fraction	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109448	DSSTox_Substance_Id	DTXSID20109448	1-Octanethiol, manuf. of, distn. residues, high-boiling fraction	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109488	DSSTox_Substance_Id	DTXSID20109488	Tall-oil pitch, unsaponifiables, distn. residues	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109504	DSSTox_Substance_Id	DTXSID20109504	Oils, Persicaria odorata	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109509	DSSTox_Substance_Id	DTXSID20109509	2-Propenoic acid, 2-methyl-, polymer with butyl 2-methyl-2-propenoate, butyl 2-propenoate, methyl 2-methyl-2-propenoate and 2-methylpropyl 2-methyl-2-propenoate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109524	DSSTox_Substance_Id	DTXSID20109524	1,2,4,5-Benzenetetracarboxylic acid, tetra-C6-10-alkyl esters	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109529	DSSTox_Substance_Id	DTXSID20109529	Castor oil, dehydrated, polymer with benzoic acid, phthalic anhydride and trimethylolpropane	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109544	DSSTox_Substance_Id	DTXSID20109544	1-Propanamine, 3-(triethoxysilyl)-, reaction products with boehmite (Al(OH)O)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20109549	DSSTox_Substance_Id	DTXSID20109549	Fatty acids, castor-oil, hydrogenated, magnesium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20166036	DSSTox_Substance_Id	DTXSID20166036	Triethyl arsenate	C6H15AsO4	226.104	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2020181	DSSTox_Substance_Id	DTXSID2020181	Bismuth oxychloride	BiClO	260.43	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2020187	DSSTox_Substance_Id	DTXSID2020187	C.I. Direct Blue 218	C32H16Cu2N6Na4O16S4	1087.8	9.27163e-11	4.03607	111.545	406.833	2.15085e-10	0.472046	9.60867	32855.9	3.15403	198.253	2.87597e-08	0.0611694
DTXSID2020345	DSSTox_Substance_Id	DTXSID2020345	Copper dimethyldithiocarbamate	C6H12CuN2S4	303.96	9.84218e-12	6.68783	23.6944	177.015	1.0326e-08	0.308695	3.36204	59.2181	-2.60759	124.232	0.189236	0.000313688
DTXSID2020555	DSSTox_Substance_Id	DTXSID2020555	Edifas B	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2020630	DSSTox_Substance_Id	DTXSID2020630	Sodium fluoride	FNa	41.98817244	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2020711	DSSTox_Substance_Id	DTXSID2020711	Hydrochloric acid	ClH	36.46	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2020715	DSSTox_Substance_Id	DTXSID2020715	Hydrogen peroxide	H2O2	34.014	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2020925	DSSTox_Substance_Id	DTXSID2020925	Nickel	Ni	58.6934	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2020927	DSSTox_Substance_Id	DTXSID2020927	Nickel bis(dibutyldithiocarbamate)	C18H36N2NiS4	467.43	1.83898e-11	78.499	4.89267	272.116	1.88655e-07	6.86685	5.95247	207.754	-1.21275	110.487	0.00179558	6.68674e-06
DTXSID2021076	DSSTox_Substance_Id	DTXSID2021076	Safflower oil	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2021157	DSSTox_Substance_Id	DTXSID2021157	Phosphine	H3P	33.998	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2021369	DSSTox_Substance_Id	DTXSID2021369	Tragacanth gum	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2021444	DSSTox_Substance_Id	DTXSID2021444	1,4-Benzenediamine, N,N'-mixed Ph and tolyl derivs.	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2021446	DSSTox_Substance_Id	DTXSID2021446	Xylenes	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20226987	DSSTox_Substance_Id	DTXSID20226987	Calcium magnesium acetate	C8H12CaMgO8	300.559	7.40536e-13	4.34366	4.59912	117.958	1.00453e-07	0.102194	4.23032	1.00727	-1.35902	256.05	15.6073	13.4017
DTXSID20228360	DSSTox_Substance_Id	DTXSID20228360	Calcium chloride hexahydrate	CaCl2H12O6	219.07	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2023779	DSSTox_Substance_Id	DTXSID2023779	Gallium arsenide	AsGa	144.645	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2023806	DSSTox_Substance_Id	DTXSID2023806	Vanadium oxide (V2O5)	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2023981	DSSTox_Substance_Id	DTXSID2023981	Chromium (III)	Cr	51.9945	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2023985	DSSTox_Substance_Id	DTXSID2023985	Copper	Cu	63.546	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2023987	DSSTox_Substance_Id	DTXSID2023987	Creosote	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2024161	DSSTox_Substance_Id	DTXSID2024161	Lead	Pb	207.2	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2024169	DSSTox_Substance_Id	DTXSID2024169	Manganese	Mn	54.938044	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2024246	DSSTox_Substance_Id	DTXSID2024246	Pentabromodiphenyl ether	C12O	160.131	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2024294	DSSTox_Substance_Id	DTXSID2024294	Radium	Ra	226.0	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2024959	DSSTox_Substance_Id	DTXSID2024959	Dibutyltinbis(lauryl mercaptide)	C32H68S2Sn	635.73	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2025216	DSSTox_Substance_Id	DTXSID2025216	Divinylbenzene	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2025218	DSSTox_Substance_Id	DTXSID2025218	Polyoxyethylene dodecyl mono ether	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2025424	DSSTox_Substance_Id	DTXSID2025424	Hydroxylamine sulfate (2:1)	H8N2O6S	164.13	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2025507	DSSTox_Substance_Id	DTXSID2025507	Linseed oil	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2025509	DSSTox_Substance_Id	DTXSID2025509	Lithium chloride	ClLi	42.39	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2025551	DSSTox_Substance_Id	DTXSID2025551	2'-Methoxycinnamaldehyde	C10H10O2	162.188	4.29123e-11	7.64182	4.47626	241.136	0.000124361	0.533448	5.83891	154.714	2.02703	16.211	0.0110855	0.0149024
DTXSID2025711	DSSTox_Substance_Id	DTXSID2025711	Nickel subsulfide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2025896	DSSTox_Substance_Id	DTXSID2025896	Phenylpropanolamine hydrochloride	C9H14ClNO	187.67	1.58224e-11	3.72514	3.89703	273.285	5.18443e-08	0.147046	7.85781	45.0162	-1.44105	221.78	0.00213417	0.132357
DTXSID2025921	DSSTox_Substance_Id	DTXSID2025921	C.I. Pigment Yellow 100	C48H33AlN12O27S6	1429.19	1.3526e-11	2.51451	5.69224	290.056	3.09763e-11	0.308902	9.36146	45.2121	0.38692	212.629	1.49186e-09	0.0021599
DTXSID2026313	DSSTox_Substance_Id	DTXSID2026313	Zinc potassium chromate	Cr2HKO9Zn2	418.85	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027179	DSSTox_Substance_Id	DTXSID2027179	Cerium triacetate	C12H24Ce2O15	688.541	7.40536e-13	4.34366	4.59912	117.958	1.00453e-07	0.102194	4.23032	1.00727	-2.47234	257.488	15.6073	13.4017
DTXSID2027202	DSSTox_Substance_Id	DTXSID2027202	2-Propanol, aluminum salt	C9H21AlO3	204.246	5.07769e-12	4.59819	7.53284	82.3951	8.08862e-06	0.07993	3.47701	3.4364	-1.36153	43.8361	44.9446	9.00523
DTXSID2027208	DSSTox_Substance_Id	DTXSID2027208	Magnesium stearate	C36H70MgO4	591.257	1.65005e-11	517.32	18.9526	382.842	6.64788e-08	1.12038	10.6209	3946.22	5.60253	185.169	7.14871e-07	2.08416e-06
DTXSID2027381	DSSTox_Substance_Id	DTXSID2027381	1,2-Propylene glycol monostearate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027389	DSSTox_Substance_Id	DTXSID2027389	Toluenesulfonamide	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20273916	DSSTox_Substance_Id	DTXSID20273916	Naphthalenesulfonic acid, di-C5-6-alkyl derivs.	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027410	DSSTox_Substance_Id	DTXSID2027410	Aluminum, tridodecyl-	C36H75Al	534.978	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027460	DSSTox_Substance_Id	DTXSID2027460	Zinc, bis[O,O-bis(1,3-dimethylbutyl) phosphorodithioato-.kappa.S,.kappa.S']-, (T-4)-	C24H52O4P2S4Zn	660.24	1.73832e-11	239.012	100.77	313.371	5.20673e-06	0.629378	8.97019	1488.77	0.0341587	139.521	0.000159518	1.36071e-05
DTXSID2027626	DSSTox_Substance_Id	DTXSID2027626	Decanedioic acid, compd. with 1,6-hexanediamine (1:1)	C16H34N2O4	318.458	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID20276467	DSSTox_Substance_Id	DTXSID20276467	Dysprosium oxide (Dy2O3)	Dy2O3	372.997	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027670	DSSTox_Substance_Id	DTXSID2027670	Pine oils	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027672	DSSTox_Substance_Id	DTXSID2027672	Fats and Glyceridic oils, menhaden	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027674	DSSTox_Substance_Id	DTXSID2027674	Palm oil	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027676	DSSTox_Substance_Id	DTXSID2027676	Natural gas	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027678	DSSTox_Substance_Id	DTXSID2027678	Lanolin	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027701	DSSTox_Substance_Id	DTXSID2027701	Pentaerythritol, stearate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027703	DSSTox_Substance_Id	DTXSID2027703	Resin acids and Rosin acids, hydrogenated, Me esters	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027705	DSSTox_Substance_Id	DTXSID2027705	Rosin, maleated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027707	DSSTox_Substance_Id	DTXSID2027707	Coco amides	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027838	DSSTox_Substance_Id	DTXSID2027838	Poly(oxy-1,2-ethanediyl), .alpha.-methyl-.omega.-methoxy-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027880	DSSTox_Substance_Id	DTXSID2027880	Naphthalenesulfonic acid, dinonyl-, barium salt	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027882	DSSTox_Substance_Id	DTXSID2027882	Methanesulfonamide, N-[2-[(4-amino-3-methylphenyl)ethylamino]ethyl]-, sulfate (2:3)	C24H48N6O16S5	836.97	1.59147e-11	1.60893	3.36068	308.766	4.38482e-09	0.509572	8.98811	131.044	0.230956	169.961	4.68308e-09	0.000508215
DTXSID2027888	DSSTox_Substance_Id	DTXSID2027888	Terphenyl	C18H14	230.31	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027961	DSSTox_Substance_Id	DTXSID2027961	1-Propanamine, 3-(isodecyloxy)-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027963	DSSTox_Substance_Id	DTXSID2027963	Isooctadecanoic acid	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2027965	DSSTox_Substance_Id	DTXSID2027965	Glycerol monomercaptoacetate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028060	DSSTox_Substance_Id	DTXSID2028060	Fatty acids, vegetable-oil	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028062	DSSTox_Substance_Id	DTXSID2028062	C18-unsatd. fatty acid dimers	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028064	DSSTox_Substance_Id	DTXSID2028064	Amines, (hydrogenated tallow alkyl)dimethyl	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028066	DSSTox_Substance_Id	DTXSID2028066	Sodium coco monoglyceride sulfate	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028068	DSSTox_Substance_Id	DTXSID2028068	Fatty acids, coco, potassium salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028141	DSSTox_Substance_Id	DTXSID2028141	Light catalytic cracked naphtha	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028143	DSSTox_Substance_Id	DTXSID2028143	Gas oils, petroleum, heavy vacuum	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028145	DSSTox_Substance_Id	DTXSID2028145	Distillates, petroleum, light catalytic cracked	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028147	DSSTox_Substance_Id	DTXSID2028147	Distillates, petroleum, heavy catalytic cracked	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028149	DSSTox_Substance_Id	DTXSID2028149	Naphtha, petroleum, light catalytic reformed	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028191	DSSTox_Substance_Id	DTXSID2028191	Petroleum resins	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028193	DSSTox_Substance_Id	DTXSID2028193	Distillates, petroleum, acid-treated light naphthenic	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028195	DSSTox_Substance_Id	DTXSID2028195	Naphtha, petroleum, chem. neutralized light	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028199	DSSTox_Substance_Id	DTXSID2028199	Distillates, petroleum, chemically neutralized middle	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028220	DSSTox_Substance_Id	DTXSID2028220	Distillates, petroleum, hydrotreated light paraffinic	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028222	DSSTox_Substance_Id	DTXSID2028222	Residual oils, petroleum, hydrotreated	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028224	DSSTox_Substance_Id	DTXSID2028224	Gas oils, petroleum, hydrotreated vacuum	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028226	DSSTox_Substance_Id	DTXSID2028226	Slack wax, petroleum	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028228	DSSTox_Substance_Id	DTXSID2028228	Distillates, petroleum, solvent-dewaxed heavy naphthenic	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028272	DSSTox_Substance_Id	DTXSID2028272	Starch, enzyme-hydrolyzed	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028274	DSSTox_Substance_Id	DTXSID2028274	Light oil, coal, coke-oven	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028278	DSSTox_Substance_Id	DTXSID2028278	Tar oils, coal	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028301	DSSTox_Substance_Id	DTXSID2028301	Alcohols, C9-11	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028305	DSSTox_Substance_Id	DTXSID2028305	Fatty acids, C14-18	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028307	DSSTox_Substance_Id	DTXSID2028307	Fatty acids, C8-18 and C18-unsatd.	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028309	DSSTox_Substance_Id	DTXSID2028309	Fatty acids, C16 and C18-unsatd.	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028357	DSSTox_Substance_Id	DTXSID2028357	Quaternary ammonium compounds, di-C14-18-alkyldimethyl, Me sulfates	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028430	DSSTox_Substance_Id	DTXSID2028430	Tail gas, petroleum, isomerized naphtha fractionation stabilizer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028432	DSSTox_Substance_Id	DTXSID2028432	Tail gas, petroleum, propane-propylene alkylation feed prep deethanizer	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028434	DSSTox_Substance_Id	DTXSID2028434	Fuel gases, refinery	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028436	DSSTox_Substance_Id	DTXSID2028436	Soybean fatty acids	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028438	DSSTox_Substance_Id	DTXSID2028438	Amides, tall-oil fatty, N,N-di-Me	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028480	DSSTox_Substance_Id	DTXSID2028480	Cyclohexane, oxidized, non-volatile residue	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028482	DSSTox_Substance_Id	DTXSID2028482	Hexanedinitrile, hydrogenated, high-boiling fraction	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028484	DSSTox_Substance_Id	DTXSID2028484	Pyridine, chloro derivs.	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028486	DSSTox_Substance_Id	DTXSID2028486	Phosphoric acid, mixed decyl and Et and octyl esters	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028488	DSSTox_Substance_Id	DTXSID2028488	Fatty acids, C5-10, esters with pentaerythritol	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028511	DSSTox_Substance_Id	DTXSID2028511	Cobalt, borate neodecanoate complexes	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028513	DSSTox_Substance_Id	DTXSID2028513	Phosphorodithioic acid, mixed O,O-bis(iso-Bu and pentyl) esters, zinc salts	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028515	DSSTox_Substance_Id	DTXSID2028515	Alkanes, C2-3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028517	DSSTox_Substance_Id	DTXSID2028517	Alkanes, C4-5	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028519	DSSTox_Substance_Id	DTXSID2028519	Distillates, petroleum, light steam-cracked naphtha	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028561	DSSTox_Substance_Id	DTXSID2028561	Gases, petroleum, amine system feed	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028563	DSSTox_Substance_Id	DTXSID2028563	Gases, petroleum, benzene unit recycle, hydrogen-rich	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028565	DSSTox_Substance_Id	DTXSID2028565	Gases, petroleum, butane splitter overheads	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028567	DSSTox_Substance_Id	DTXSID2028567	Gases, petroleum, catalytic-cracked gas oil depropanizer bottoms, C4-rich acid-free	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028569	DSSTox_Substance_Id	DTXSID2028569	Gases, petroleum, catalytic cracked naphtha depropanizer overhead, C3-rich acid-free	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028640	DSSTox_Substance_Id	DTXSID2028640	Residues, petroleum, deethanizer tower	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028644	DSSTox_Substance_Id	DTXSID2028644	Grease, catch basin	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028646	DSSTox_Substance_Id	DTXSID2028646	Hydrocarbons, C10 and C12, olefin-rich	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028648	DSSTox_Substance_Id	DTXSID2028648	Hydrocarbons, C9-14, ethylene-manuf.-by-product	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028690	DSSTox_Substance_Id	DTXSID2028690	Nonene, hydroformylation products, high-boiling	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028692	DSSTox_Substance_Id	DTXSID2028692	Dodecene, hydroformylation products, low-boiling	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DTXSID2028694	DSSTox_Substance_Id	DTXSID2028694	Heptene, hydroformylation products, low-boiling	-	-	-	-	-	-	-	-	-	-	-	-	-	-
